CIR,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
11001,0.59,0.51,0.6,0.67,0.71,0.69,0.67,0.72,0.7,0.76,0.77,0.82,0.84,0.86,0.84,0.83
11002,0.53,0.53,0.55,0.6,0.6,0.68,0.69,0.68,0.65,0.67,0.69,0.7,0.73,0.73,0.72,0.82
11003,0.6,0.61,0.63,0.64,0.68,0.7,0.72,0.76,0.81,0.81,0.85,0.85,0.84,0.81,0.75,0.8
11004,0.45,0.49,0.57,0.62,0.59,0.58,0.65,0.66,0.76,0.69,0.65,0.68,0.72,0.75,0.74,0.75
11005,0.59,0.64,0.69,0.74,0.68,0.73,0.77,0.8,0.82,0.85,0.88,0.88,0.88,0.88,0.87,0.89
11006,0.62,0.6,0.59,0.71,0.73,0.69,0.78,0.77,0.83,0.84,0.88,0.9,0.91,0.85,0.87,0.88
11007,0.41,0.5,0.58,0.65,0.71,0.77,0.83,0.86,0.88,0.93,0.92,0.94,0.97,0.97,0.96,0.93
12001,0.49,0.49,0.48,0.52,0.59,0.6,0.63,0.66,0.65,0.66,0.62,0.62,0.62,0.64,0.69,0.68
12002,0.43,0.5,0.49,0.51,0.51,0.56,0.57,0.58,0.62,0.62,0.62,0.62,0.64,0.67,0.68,0.7
12003,0.26,0.32,0.38,0.39,0.41,0.42,0.4,0.42,0.46,0.45,0.48,0.51,0.53,0.56,0.59,0.65
13001,0.39,0.43,0.48,0.48,0.53,0.6,0.63,0.67,0.67,0.68,0.68,0.67,0.69,0.68,0.67,0.66
13002,0.21,0.34,0.34,0.38,0.4,0.43,0.43,0.41,0.44,0.55,0.7,0.77,0.74,0.64,0.69,0.72
13003,0.38,0.37,0.38,0.4,0.44,0.49,0.48,0.47,0.51,0.54,0.59,0.66,0.66,0.69,0.74,0.71
13004,0.39,0.43,0.45,0.49,0.52,0.51,0.54,0.57,0.6,0.62,0.62,0.61,0.65,0.63,0.62,0.6
13005,0.2,0.26,0.3,0.31,0.3,0.36,0.41,0.41,0.46,0.54,0.59,0.6,0.69,0.71,0.7,0.73
13006,0.49,0.58,0.62,0.46,0.52,0.51,0.53,0.5,0.47,0.48,0.54,0.54,0.52,0.58,0.68,0.77
13007,0.4,0.28,0.38,0.38,0.42,0.46,0.45,0.46,0.57,0.54,0.6,0.63,0.65,0.65,0.68,0.66
13008,0.29,0.22,0.23,0.34,0.36,0.37,0.34,0.42,0.52,0.52,0.57,0.72,0.65,0.69,0.85,0.53
