CIR,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
11001,0.85,0.83,0.88,0.9,0.92,0.9,0.89,0.94,0.93,0.91,0.92,0.95,0.95,0.96,0.96,0.92
11002,0.92,0.94,0.93,0.94,0.94,0.95,0.95,0.93,0.93,0.93,0.94,0.95,0.95,0.94,0.93,0.95
11003,0.88,0.9,0.91,0.89,0.93,0.93,0.95,0.94,0.95,0.95,0.97,0.96,0.98,0.94,0.92,0.92
11004,0.76,0.8,0.86,0.88,0.89,0.89,0.9,0.93,0.93,0.91,0.88,0.91,0.94,0.92,0.92,0.94
11005,0.89,0.91,0.91,0.91,0.89,0.92,0.94,0.93,0.94,0.95,0.95,0.95,0.94,0.93,0.93,0.93
11006,0.9,0.91,0.89,0.95,0.93,0.93,0.96,0.93,0.94,0.94,0.93,0.95,0.94,0.91,0.92,0.94
11007,0.86,0.92,0.91,0.92,0.93,0.96,0.97,0.97,0.98,0.99,0.98,0.98,1.0,0.99,0.99,0.99
12001,0.85,0.86,0.89,0.83,0.85,0.86,0.88,0.89,0.91,0.91,0.86,0.87,0.83,0.83,0.87,0.87
12002,0.72,0.76,0.79,0.82,0.83,0.86,0.89,0.9,0.9,0.91,0.93,0.92,0.9,0.92,0.92,0.93
12003,0.52,0.58,0.73,0.76,0.76,0.79,0.74,0.8,0.83,0.83,0.83,0.84,0.87,0.88,0.9,0.91
13001,0.68,0.77,0.81,0.77,0.84,0.89,0.91,0.93,0.93,0.93,0.93,0.93,0.94,0.93,0.93,0.92
13002,0.58,0.65,0.71,0.76,0.77,0.83,0.85,0.82,0.79,0.92,0.93,0.95,0.95,0.93,0.95,0.95
13003,0.64,0.68,0.71,0.73,0.75,0.82,0.85,0.84,0.86,0.86,0.91,0.92,0.91,0.93,0.94,0.92
13004,0.71,0.75,0.78,0.83,0.88,0.88,0.9,0.9,0.94,0.94,0.94,0.95,0.94,0.94,0.94,0.93
13005,0.56,0.63,0.67,0.73,0.71,0.77,0.81,0.81,0.86,0.89,0.9,0.92,0.94,0.92,0.93,0.93
13006,0.69,0.75,0.78,0.71,0.75,0.75,0.79,0.8,0.82,0.87,0.89,0.91,0.9,0.92,0.96,0.98
13007,0.65,0.6,0.69,0.73,0.8,0.8,0.8,0.87,0.89,0.85,0.88,0.89,0.91,0.88,0.92,0.94
13008,0.53,0.73,0.66,0.64,0.7,0.7,0.72,0.78,0.8,0.85,0.91,0.94,0.93,0.95,0.95,0.89
13009,0.66,0.71,0.73,0.75,0.78,0.81,0.83,0.82,0.87,0.86,0.91,0.91,0.92,0.95,0.92,0.95
14001,0.83,0.81,0.82,0.84,0.83,0.89,0.9,0.86,0.89,0.89,0.87,0.91,0.91,0.9,0.89,0.89
14002,0.76,0.89,0.87,0.85,0.88,0.9,0.92,0.92,0.92,0.94,0.93,0.94,0.93,0.92,0.93,0.93
15001,0.83,0.84,0.86,0.85,0.88,0.88,0.89,0.9,0.88,0.92,0.93,0.94,0.94,0.92,0.92,0.91
15002,0.77,0.78,0.8,0.82,0.84,0.83,0.85,0.86,0.88,0.89,0.89,0.89,0.89,0.89,0.88,0.87
15003,0.73,0.75,0.81,0.81,0.83,0.85,0.87,0.89,0.89,0.89,0.92,0.92,0.92,0.91,0.9,0.93
15004,0.71,0.75,0.81,0.83,0.84,0.86,0.85,0.9,0.89,0.91,0.9,0.91,0.92,0.9,0.9,0.89
15006,0.15,0.83,0.87,0.86,0.84,0.89,0.9,0.91,0.92,0.92,0.93,0.93,0.94,0.93,0.93,0.93
15007,0.78,0.8,0.82,0.84,0.85,0.85,0.88,0.89,0.9,0.82,0.91,0.9,0.9,0.9,0.91,0.93
15008,0.74,0.75,0.78,0.83,0.71,0.85,0.89,0.91,0.93,0.92,0.93,0.94,0.94,0.93,0.92,0.91
15009,0.68,0.7,0.74,0.77,0.8,0.82,0.84,0.84,0.86,0.87,0.88,0.89,0.91,0.9,0.91,0.91
15010,0.69,0.75,0.8,0.83,0.87,0.87,0.9,0.9,0.89,0.9,0.93,0.94,0.93,0.93,0.94,0.96
15011,0.7,0.74,0.76,0.78,0.8,0.81,0.82,0.84,0.84,0.84,0.87,0.88,0.89,0.88,0.87,0.88
15012,0.71,0.75,0.79,0.84,0.83,0.81,0.86,0.87,0.88,0.86,0.87,0.89,0.9,0.88,0.9,0.93
15013,0.66,0.75,0.67,0.72,0.72,0.71,0.7,0.76,0.79,0.79,0.8,0.83,0.85,0.85,0.82,0.85
15014,0.42,0.48,0.5,0.56,0.62,0.66,0.64,0.65,0.72,0.74,0.77,0.75,0.79,0.78,0.76,0.84
16001,0.8,0.8,0.81,0.84,0.83,0.84,0.85,0.85,0.86,0.87,0.88,0.86,0.87,0.9,0.93,0.95
16002,0.66,0.74,0.78,0.81,0.83,0.75,0.76,0.8,0.8,0.79,0.85,0.85,0.87,0.86,0.0,0.0
16003,0.71,0.71,0.74,0.81,0.78,0.8,0.81,0.83,0.84,0.88,0.89,0.88,0.86,0.85,0.0,0.0
17001,0.85,0.82,0.84,0.88,0.89,0.9,0.92,0.93,0.93,0.94,0.95,0.93,0.92,0.93,0.94,0.94
17002,0.77,0.79,0.83,0.88,0.9,0.91,0.93,0.94,0.95,0.95,0.96,0.96,0.97,0.96,0.98,0.97
17003,0.81,0.84,0.86,0.87,0.89,0.91,0.94,0.92,0.93,0.94,0.92,0.94,0.95,0.95,0.98,0.95
17004,0.88,0.87,0.84,0.92,0.93,0.93,0.94,0.95,0.96,0.96,0.97,0.97,0.96,0.95,0.95,0.96
17005,0.89,0.86,0.91,0.92,0.92,0.93,0.94,0.93,0.93,0.94,0.94,0.94,0.93,0.93,0.95,0.95
17006,0.9,0.91,0.91,0.91,0.92,0.92,0.92,0.94,0.97,0.97,0.96,0.97,0.97,0.96,0.96,0.95
17007,0.87,0.9,0.93,0.96,0.96,0.95,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.95,0.97,0.96
17008,0.85,0.89,0.92,0.93,0.95,0.94,0.95,0.95,0.96,0.96,0.97,0.97,0.93,0.96,0.97,0.97
21001,0.74,0.79,0.77,0.78,0.83,0.85,0.88,0.89,0.9,0.91,0.92,0.92,0.92,0.92,0.93,0.94
21002,0.77,0.77,0.78,0.81,0.85,0.87,0.87,0.9,0.92,0.92,0.93,0.93,0.93,0.94,0.95,0.95
21003,0.76,0.79,0.83,0.84,0.87,0.88,0.89,0.92,0.93,0.94,0.95,0.96,0.95,0.96,0.96,0.96
21004,0.7,0.74,0.82,0.82,0.85,0.86,0.88,0.91,0.92,0.92,0.94,0.94,0.95,0.95,0.97,0.96
21005,0.77,0.78,0.8,0.8,0.82,0.83,0.85,0.88,0.89,0.9,0.91,0.92,0.93,0.93,0.93,0.94
21006,0.69,0.74,0.76,0.8,0.85,0.85,0.88,0.91,0.9,0.91,0.93,0.93,0.94,0.94,0.95,0.96
21007,0.72,0.78,0.81,0.84,0.85,0.82,0.87,0.89,0.9,0.91,0.92,0.92,0.92,0.92,0.93,0.95
21008,0.76,0.77,0.81,0.85,0.87,0.86,0.89,0.91,0.92,0.93,0.94,0.95,0.95,0.95,0.95,0.96
21009,0.72,0.74,0.75,0.81,0.77,0.81,0.84,0.86,0.89,0.89,0.92,0.93,0.94,0.92,0.94,0.94
21010,0.78,0.77,0.84,0.87,0.88,0.91,0.92,0.94,0.94,0.95,0.96,0.96,0.97,0.97,0.97,0.97
21011,0.62,0.61,0.65,0.7,0.72,0.75,0.79,0.81,0.83,0.86,0.88,0.88,0.9,0.88,0.9,0.9
21012,0.72,0.79,0.84,0.86,0.9,0.9,0.89,0.82,0.94,0.95,0.95,0.96,0.97,0.94,0.95,0.96
21013,0.55,0.56,0.67,0.72,0.75,0.77,0.81,0.82,0.86,0.87,0.89,0.9,0.9,0.9,0.93,0.94
21014,0.67,0.7,0.75,0.79,0.82,0.81,0.85,0.88,0.89,0.91,0.92,0.92,0.93,0.92,0.94,0.95
21015,0.71,0.73,0.78,0.8,0.84,0.85,0.88,0.91,0.92,0.93,0.94,0.94,0.94,0.94,0.96,0.96
21016,0.87,0.88,0.84,0.88,0.89,0.9,0.91,0.93,0.92,0.93,0.94,0.93,0.94,0.94,0.94,0.95
21017,0.67,0.76,0.8,0.81,0.82,0.84,0.86,0.88,0.9,0.9,0.93,0.93,0.94,0.92,0.91,0.93
21018,0.67,0.71,0.76,0.79,0.81,0.83,0.85,0.87,0.89,0.88,0.92,0.93,0.92,0.93,0.94,0.94
21019,0.68,0.71,0.74,0.78,0.8,0.84,0.89,0.92,0.92,0.93,0.95,0.95,0.96,0.96,0.97,0.97
22001,0.89,0.89,0.91,0.93,0.94,0.95,0.96,0.97,0.96,0.97,0.98,0.98,0.98,0.97,0.98,0.98
22002,0.85,0.76,0.83,0.85,0.88,0.9,0.92,0.93,0.94,0.95,0.95,0.95,0.96,0.96,0.96,0.96
22003,0.85,0.86,0.9,0.92,0.94,0.94,0.96,0.97,0.97,0.97,0.97,0.97,0.98,0.98,0.98,0.98
22004,0.86,0.88,0.9,0.93,0.93,0.95,0.94,0.95,0.95,0.95,0.95,0.95,0.95,0.94,0.95,0.97
22005,0.83,0.86,0.89,0.91,0.92,0.92,0.93,0.94,0.94,0.95,0.95,0.95,0.94,0.94,0.93,0.94
22006,0.79,0.81,0.84,0.88,0.91,0.92,0.94,0.96,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.99
22007,0.73,0.8,0.86,0.89,0.91,0.9,0.93,0.93,0.94,0.95,0.96,0.95,0.95,0.96,0.96,0.98
22008,0.86,0.88,0.91,0.9,0.91,0.93,0.94,0.95,0.96,0.96,0.96,0.97,0.98,0.98,0.98,0.98
22009,0.85,0.87,0.89,0.92,0.92,0.93,0.95,0.96,0.97,0.97,0.97,0.97,0.96,0.98,0.98,0.99
22010,0.9,0.92,0.93,0.94,0.94,0.95,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.98,0.97,0.98
22011,0.81,0.86,0.88,0.91,0.92,0.93,0.95,0.96,0.96,0.96,0.96,0.97,0.97,0.97,0.97,0.96
23001,0.82,0.85,0.88,0.89,0.9,0.91,0.93,0.94,0.94,0.93,0.91,0.9,0.91,0.91,0.89,0.91
23002,0.88,0.9,0.92,0.94,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.95,0.89,0.94
23003,0.93,0.94,0.94,0.96,0.97,0.97,0.97,0.97,0.97,0.96,0.97,0.98,0.97,0.96,0.95,0.96
23004,0.95,0.95,0.96,0.97,0.98,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99
23005,0.92,0.92,0.95,0.96,0.97,0.98,0.98,0.98,0.98,0.97,0.98,0.98,0.98,0.98,0.97,0.97
23006,0.89,0.91,0.92,0.93,0.94,0.94,0.96,0.97,0.97,0.98,0.97,0.97,0.97,0.96,0.93,0.96
23007,0.95,0.96,0.97,0.96,0.98,0.98,0.99,0.99,0.98,0.99,0.98,0.98,0.98,0.97,0.98,0.97
