Região de Saúde (CIR),2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
11001,32,39,46,59,71,78,82,88,98,102
11002,72,76,83,101,113,134,156,173,222,250
11003,96,118,133,160,182,205,232,265,317,358
11004,150,224,246,271,300,338,410,531,593,640
11005,23,26,30,35,38,53,64,71,82,88
11006,31,38,50,79,94,117,137,153,185,204
11007,4,5,3,3,3,4,4,7,8,7
12001,2,3,3,3,3,3,3,3,3,4
12002,84,149,182,225,231,252,263,277,291,297
12003,9,12,18,32,29,30,30,32,35,35
13001,296,544,605,653,703,745,791,833,877,920
13002,0,0,1,1,2,5,7,8,9,10
13003,2,3,4,7,9,9,12,21,22,23
13004,1,2,6,7,8,9,10,10,12,13
13005,9,9,11,11,11,12,12,13,12,7
13006,1,2,4,5,6,4,2,3,3,3
13007,0,0,0,0,0,0,0,0,1,2
13008,4,5,7,9,11,11,12,12,13,11
13009,1,1,1,2,2,3,4,3,3,4
14001,60,81,92,98,111,126,145,159,178,189
14002,0,0,0,0,0,0,0,1,3,5
15001,47,53,58,63,74,81,91,100,112,110
15002,49,59,65,81,105,129,135,139,142,156
15003,94,116,149,181,204,229,263,291,322,352
15004,19,16,16,23,33,33,38,43,48,54
15006,459,671,859,1140,1283,1444,1569,1665,1762,1741
15007,12,12,12,12,13,17,20,22,21,20
15008,55,70,86,97,109,119,132,146,148,150
15009,30,32,33,32,32,36,41,46,52,54
15010,6,7,8,10,11,13,16,19,20,22
15011,30,32,39,49,58,65,76,80,86,80
15012,5,9,14,16,17,20,26,31,33,39
15013,2,1,0,0,0,0,0,0,0,0
15014,3,3,3,3,1,1,1,1,1,0
16001,44,75,91,109,122,139,145,151,165,174
16002,8,8,8,8,8,8,3,0,1,1
16003,3,5,7,9,10,13,15,17,19,16
17001,30,32,44,71,93,99,106,116,126,131
17002,4,4,5,7,10,13,14,14,16,17
17003,4,4,4,3,3,5,5,5,5,5
17004,16,16,17,18,24,27,30,34,38,42
17005,32,47,56,76,88,98,104,110,117,119
17006,129,152,181,227,258,276,301,328,347,361
17007,7,9,15,28,33,33,34,37,36,39
17008,14,14,15,19,23,24,26,29,35,38
21001,32,48,52,56,53,49,48,48,52,48
21002,20,19,16,16,17,17,17,18,20,20
21003,35,34,35,36,36,40,43,46,50,54
21004,17,17,17,19,19,20,19,21,20,21
21005,49,47,38,41,41,39,40,42,44,47
21006,29,30,29,30,35,35,40,39,39,39
21007,22,22,21,23,29,30,28,28,30,29
21008,107,123,135,165,192,209,233,245,260,268
21009,8,8,10,9,11,11,10,10,12,14
21010,15,13,14,11,13,14,14,14,15,16
21011,8,8,7,7,9,12,12,13,15,13
21012,14,12,11,11,13,15,16,17,17,17
21013,17,13,6,7,9,8,8,8,8,10
21014,20,19,17,19,21,24,25,27,31,31
21015,14,13,13,14,16,16,16,16,19,22
21016,322,448,525,570,600,629,653,674,724,761
21017,14,14,16,18,14,13,15,15,15,16
21018,7,8,9,9,10,9,9,6,6,3
21019,8,7,7,6,6,4,5,4,4,3
22001,30,31,31,31,32,33,30,29,31,31
22002,10,10,10,10,10,11,11,14,18,16
22003,34,39,40,43,45,49,54,58,63,52
22004,412,480,513,555,588,628,685,727,769,770
22005,44,71,76,82,87,92,97,104,108,112
22006,17,17,16,17,19,17,16,16,18,17
22007,3,4,5,5,8,9,10,11,11,12
22008,31,30,32,32,32,32,32,33,34,23
22009,114,119,118,121,128,127,137,150,161,176
22010,6,9,10,13,15,15,16,16,16,15
22011,48,57,64,68,72,75,78,80,82,85
23001,1688,2129,2482,3259,3568,3900,4122,4297,4551,4698
23002,21,30,32,35,41,41,43,50,54,51
23003,32,40,45,50,53,55,59,71,89,88
23004,7,8,8,9,11,11,13,13,14,14
23005,5,12,22,25,27,28,29,30,30,31
23006,23,37,38,39,42,47,48,52,55,56
23007,25,28,28,28,31,33,34,34,36,35
23008,27,38,43,52,62,68,80,86,94,98
23009,18,32,36,40,44,47,51,52,56,54
23010,29,60,64,69,70,71,73,79,84,82
23011,105,121,125,124,119,150,157,169,184,184
23012,17,19,20,18,17,17,20,22,23,21
23013,29,45,57,61,69,75,81,85,89,80
23014,20,23,26,29,29,33,34,33,34,26
23015,27,36,38,47,52,56,58,58,57,52
23016,16,17,18,18,19,19,19,22,23,20
23017,19,25,26,28,29,31,32,34,37,36
23018,38,54,62,64,65,71,75,79,86,85
23019,50,54,54,57,63,65,66,69,72,74
23020,87,104,122,148,154,153,156,162,165,166
23021,115,162,187,217,236,259,278,299,321,330
23022,16,21,22,23,26,28,30,31,37,39
24001,13,13,12,11,12,16,18,21,25,23
24002,101,122,141,173,179,194,209,227,247,263
24003,22,26,29,30,32,36,39,40,42,39
24004,67,89,95,100,121,147,146,147,151,142
24005,12,14,15,16,17,17,16,16,16,15
24006,49,57,60,63,67,72,75,78,86,88
24007,592,800,919,1077,1185,1242,1289,1348,1417,1373
24008,10,23,25,28,27,32,37,39,42,44
25001,873,958,991,1033,1061,1102,1146,1187,1224,1260
25002,49,50,51,53,50,47,52,54,60,50
25003,26,28,26,23,25,27,31,34,43,36
25004,7,7,7,7,8,8,8,10,14,15
25005,32,31,34,38,40,38,40,40,38,40
25006,52,55,60,64,72,75,77,84,96,99
25007,16,17,18,20,23,24,27,31,34,29
25008,13,14,15,18,20,19,22,28,34,32
25009,51,53,58,62,63,64,65,65,66,65
25010,41,44,49,55,59,58,60,63,64,52
25011,10,11,11,12,12,12,14,17,21,17
25012,10,9,9,10,10,12,13,13,16,17
25013,7,8,9,10,15,15,17,18,20,23
25014,14,14,15,18,17,17,18,18,20,19
25015,5,5,5,5,4,5,4,3,3,3
25016,204,243,276,314,347,364,381,402,423,448
26001,18,19,22,24,27,30,33,38,41,38
26002,60,64,68,72,76,79,83,90,98,105
26003,209,263,312,377,407,431,466,494,538,524
26004,51,94,106,156,174,190,207,225,235,237
26005,12,15,17,20,26,30,37,46,53,56
26006,47,53,58,69,74,86,98,114,127,124
26007,21,26,31,36,40,41,46,52,60,60
26008,36,47,53,57,61,60,61,72,80,68
26009,98,126,142,161,175,187,209,232,252,270
26010,1065,1374,1557,1827,1980,2134,2254,2373,2492,2351
26011,18,22,22,30,32,34,43,44,46,45
26012,44,46,51,61,67,69,79,85,88,89
27001,181,526,607,754,819,872,910,966,1023,1066
27002,1,1,1,2,2,2,3,5,7,6
27003,13,16,18,21,23,22,22,23,24,19
27004,4,5,5,6,6,7,9,10,12,12
27005,6,12,13,15,17,17,16,15,18,22
27006,28,31,34,38,40,42,46,47,52,58
27007,88,101,108,128,138,144,154,164,171,188
27008,14,22,22,26,32,34,37,41,45,47
27009,15,16,17,17,18,18,18,20,22,23
27010,4,4,5,7,9,13,15,15,16,20
28001,1041,1347,1422,1554,1649,1722,1807,1896,1968,2001
28002,25,30,31,32,34,39,46,50,53,54
28003,29,37,41,46,48,51,56,57,59,59
28004,35,46,54,55,56,60,66,71,75,72
28005,11,12,14,14,13,13,15,19,24,19
28006,37,44,48,53,55,54,53,53,57,49
28007,8,9,15,17,17,17,20,30,34,27
29001,158,159,169,177,186,191,200,213,220,211
29002,135,155,167,183,197,205,212,240,257,267
29003,107,136,143,157,159,165,176,187,197,189
29004,110,116,123,137,146,150,163,171,185,157
29005,69,75,81,92,100,100,103,109,115,106
29006,263,325,362,426,460,496,537,567,592,588
29007,156,175,178,181,186,196,201,220,248,233
29008,21,28,28,29,29,29,35,40,41,36
29009,143,152,157,166,174,180,184,186,194,194
29010,66,82,94,94,97,104,105,110,118,100
29011,33,36,38,41,41,42,45,46,51,52
29012,263,286,294,311,326,338,355,366,377,368
29013,123,125,127,125,118,120,122,121,125,108
29014,103,113,116,118,122,131,133,140,145,144
29015,186,209,215,219,222,223,232,240,254,245
29016,94,100,105,117,127,131,138,141,144,133
29017,139,143,159,167,183,178,165,169,180,186
29018,184,203,213,226,229,235,220,218,234,223
29019,53,55,53,52,48,50,51,52,58,52
29020,1853,2108,2233,2509,2662,2773,2884,2996,3050,3014
29021,52,68,73,79,69,74,77,85,88,88
29022,128,134,140,149,149,152,156,164,173,166
29023,43,44,42,42,42,43,44,42,48,38
29024,77,86,85,84,90,98,103,115,129,134
29025,115,131,136,138,142,148,150,155,162,140
29026,127,136,144,177,203,222,232,237,247,240
29027,67,72,74,79,79,82,85,86,94,93
29028,298,303,310,322,331,350,368,402,466,487
31001,7,9,13,15,15,15,18,19,19,21
31002,26,30,32,50,55,59,62,66,69,77
31003,96,160,180,225,252,279,303,312,331,335
31004,25,35,36,39,42,44,45,47,53,54
31005,53,44,43,46,48,50,52,52,54,51
31006,48,51,54,62,72,76,84,100,140,203
31007,478,441,442,466,470,467,473,476,494,507
31008,1895,2535,3018,3731,4018,4357,4721,5003,5244,5397
31009,199,227,252,279,295,306,328,338,345,359
31010,31,41,76,97,109,121,140,153,169,178
31011,8,7,12,12,15,18,20,21,22,25
31012,34,55,67,78,84,86,90,93,100,99
31013,90,101,113,133,146,162,180,193,205,213
31014,387,402,418,443,460,487,524,552,566,573
31015,411,422,447,483,508,537,566,594,600,616
31016,1,1,1,1,1,1,2,2,4,6
31017,62,92,106,123,139,150,156,168,182,180
31018,142,141,140,143,148,151,152,159,178,157
31019,38,39,46,59,62,67,78,97,113,121
31020,154,246,300,369,407,467,512,562,655,735
31021,60,68,77,88,99,110,120,128,146,148
31022,3,3,3,3,3,3,3,6,9,10
31023,49,73,86,97,103,118,131,145,158,171
31024,230,320,348,387,411,437,460,498,527,565
31025,56,53,52,52,56,64,69,71,75,70
31026,19,51,61,98,127,157,170,182,194,184
31027,380,394,413,427,441,455,380,404,445,472
31028,284,297,316,341,360,376,414,433,461,488
31029,148,198,201,249,273,297,324,340,348,356
31030,10,13,15,16,16,19,21,22,25,26
31031,211,217,225,228,231,241,257,269,278,282
31032,44,72,78,104,117,125,133,149,175,184
31033,29,34,48,66,71,77,83,87,96,102
31034,2,14,25,34,39,44,49,59,67,73
31035,225,227,236,246,254,267,281,292,304,308
31036,5,8,9,14,16,24,33,43,46,50
31037,627,710,744,806,855,925,987,1036,1084,1120
31038,256,291,320,354,368,382,397,416,429,433
31039,86,124,144,181,190,199,203,226,281,305
31040,3,3,3,3,4,5,4,4,4,5
31041,56,80,95,162,181,199,249,291,333,376
31042,12,13,14,15,18,20,21,22,22,23
31043,32,35,39,38,41,44,49,55,64,63
31044,91,148,186,229,270,314,354,379,404,437
31045,76,112,120,133,147,157,166,173,178,160
31046,57,55,58,57,57,59,61,61,64,58
31047,135,143,150,154,158,165,175,180,203,221
31048,9,4,5,6,4,4,8,8,10,11
31049,50,84,104,135,157,169,189,217,246,257
31050,129,164,178,208,231,253,262,276,309,339
31051,247,264,277,286,298,350,444,473,505,525
31052,113,109,110,117,127,136,148,159,179,177
31053,6,11,14,19,22,23,23,26,30,28
31054,17,23,27,34,36,41,46,52,62,67
31055,439,524,572,635,672,695,713,733,751,750
31056,202,215,222,225,230,238,240,249,256,248
31057,425,547,602,666,718,775,826,882,954,959
31058,9,11,13,15,18,22,24,29,33,36
31059,23,26,29,31,36,41,48,55,63,66
31060,7,9,10,12,14,17,18,20,24,26
31061,69,106,121,143,162,175,177,184,202,208
31062,11,12,14,15,25,28,30,31,32,35
31063,196,226,239,247,248,258,266,300,330,321
31064,15,18,19,21,24,24,25,28,30,33
31065,75,155,238,267,292,312,333,352,375,394
31066,51,69,76,98,112,117,121,130,143,146
31067,173,280,299,343,364,380,389,400,434,467
31068,249,246,262,294,307,329,355,378,397,410
31069,30,97,130,154,166,179,193,200,205,209
31070,67,130,183,221,232,243,243,249,256,265
31071,120,141,149,164,181,196,208,218,226,224
31072,101,199,239,272,270,310,368,407,449,473
31073,454,889,944,1049,1127,1207,1275,1331,1396,1457
31074,64,68,77,102,121,141,166,189,206,219
31075,41,149,277,363,405,444,467,488,529,577
31076,211,226,233,253,266,275,273,289,297,284
31077,232,240,228,236,220,231,248,259,269,276
32001,432,532,583,647,675,704,759,802,882,936
32002,1215,1478,1624,1886,2047,2176,2285,2401,2507,2370
32003,197,220,234,261,285,299,309,315,322,324
32004,499,569,582,627,648,653,670,692,728,742
33001,152,186,168,167,183,190,198,210,230,282
33002,97,111,203,397,431,485,523,545,571,598
33003,231,278,306,326,327,340,360,378,393,414
33004,575,754,858,1008,1099,1158,1227,1281,1341,1390
33005,1784,2454,2823,3533,3990,4579,5052,5565,6350,6778
33006,925,1203,1454,1682,1821,1943,2037,2151,2283,2368
33007,222,288,342,387,413,456,482,501,522,536
33008,153,321,780,1051,1142,1211,1258,1297,1327,1358
33009,498,648,717,825,882,939,991,1039,1110,1143
35011,486,617,692,846,917,953,818,845,931,980
35012,37,62,84,100,111,120,126,138,147,158
35013,71,103,119,140,158,179,190,200,215,230
