Região de Saúde,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
11001,29.27,40.35,39.00,45.81,38.00,36.40,35.88,39.53,49.46,53.06,55.08,53.52
11002,23.74,22.69,14.79,15.32,16.71,20.56,19.79,24.75,54.82,62.87,58.60,59.75
11003,34.15,41.92,40.47,43.86,45.70,42.09,43.89,60.85,64.65,69.61,69.70,76.45
11004,5.38,7.00,11.38,18.56,19.00,14.86,11.19,11.60,16.53,21.67,23.92,28.67
11005,50.78,43.05,51.02,45.83,42.21,40.06,40.49,57.39,56.60,59.01,63.70,74.18
11006,36.18,36.67,37.42,30.78,45.12,54.44,45.01,74.65,92.53,82.62,87.55,88.77
11007,21.61,18.98,22.45,9.67,9.53,11.73,22.88,47.08,55.98,61.90,58.97,76.01
12001,23.86,14.76,14.49,12.50,6.69,6.57,6.40,14.12,24.64,24.20,23.79,22.75
12002,13.17,12.51,13.52,17.13,17.35,23.34,23.62,27.39,30.98,31.51,32.15,31.43
12003,29.57,30.43,32.39,37.31,42.33,44.53,49.98,62.52,61.84,67.48,67.24,53.82
13001,27.03,29.08,28.50,27.04,27.53,27.24,20.32,19.66,19.93,22.25,22.15,21.79
13002,18.21,21.09,22.85,24.35,22.30,22.77,22.56,38.53,42.97,43.01,43.06,40.66
13003,19.31,9.24,10.79,14.75,10.49,4.29,5.13,13.49,16.97,16.50,19.99,15.45
13004,24.75,19.24,18.95,22.38,22.52,18.76,19.81,23.38,27.07,25.12,27.14,22.65
13005,32.95,33.16,32.94,34.81,28.33,32.67,31.16,31.68,30.52,28.73,34.69,43.69
13006,13.03,12.49,12.61,13.63,16.19,14.95,14.21,15.10,13.65,16.83,15.65,26.66
13007,24.17,15.15,20.08,38.74,26.96,23.28,24.06,30.11,44.59,39.69,35.92,28.22
13008,30.33,31.29,38.06,35.81,34.53,35.48,34.21,47.23,44.06,44.29,43.73,48.47
13009,14.85,15.78,19.83,23.06,18.73,16.56,24.01,49.96,55.66,53.20,50.67,56.28
14001,54.06,49.97,48.97,43.51,44.78,45.33,42.71,56.12,55.31,59.49,56.94,48.02
14002,27.93,20.03,20.48,17.05,24.58,22.78,19.38,14.07,20.74,24.00,22.82,25.22
15001,16.20,14.28,12.92,13.18,15.66,13.92,10.25,15.03,18.51,18.60,20.57,16.49
15002,15.03,15.34,15.81,15.70,17.77,16.49,13.98,18.95,26.82,27.82,31.84,37.11
15003,20.37,19.11,17.11,15.54,16.56,16.95,17.27,17.35,21.58,23.72,24.21,30.18
15004,12.62,11.38,14.19,16.99,18.75,14.18,17.94,29.24,36.71,35.63,36.18,32.64
15006,31.21,31.82,32.39,29.20,28.23,29.46,30.52,32.35,33.95,34.07,33.09,32.99
15007,15.82,18.83,14.89,10.83,8.87,6.97,6.05,5.49,5.72,5.65,5.59,5.22
15008,24.73,26.77,30.75,29.46,28.88,29.46,27.27,27.58,32.23,36.22,37.69,41.97
15009,35.43,39.66,39.03,31.98,27.81,27.11,27.98,29.39,23.67,28.56,30.90,37.46
15010,13.62,16.77,12.23,25.17,27.45,23.46,24.14,27.81,29.96,39.36,51.28,51.11
15011,24.19,20.00,19.55,20.04,19.75,20.39,17.20,17.99,20.01,21.94,24.16,21.21
15012,10.96,13.47,14.42,15.29,13.34,12.33,14.50,21.11,29.36,32.37,31.21,27.12
15013,4.27,5.10,2.68,1.90,1.71,1.84,1.79,7.33,12.71,12.39,8.85,8.02
15014,10.62,12.26,15.89,17.51,19.47,18.34,15.69,12.86,18.62,22.47,22.80,22.88
16001,21.87,17.55,9.90,9.90,14.65,18.13,16.94,34.39,44.46,38.69,24.67,25.70
