CIR,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
11001,8.94,10.81,12.46,10.20,8.95,8.20,12.10,10.37,12.49,9.84,10.26,5.97,8.06,7.05,9.07,8.47
11002,13.17,10.81,13.25,12.34,12.93,12.25,14.57,8.92,12.15,8.47,11.54,10.35,8.62,12.33,13.01,11.08
11003,16.23,17.27,10.93,12.63,13.75,11.25,12.64,15.18,8.92,13.59,12.70,9.07,9.11,7.49,7.25,10.02
11004,23.05,18.56,21.92,21.93,16.87,17.19,17.03,13.71,11.28,12.90,14.49,8.53,8.42,8.93,9.01,10.03
11005,13.55,14.47,8.62,12.36,10.74,11.33,10.31,9.30,10.54,7.98,11.04,6.51,8.91,8.94,8.98,11.78
11006,9.29,17.90,10.89,11.48,13.41,8.59,13.10,10.85,5.73,11.92,16.36,9.67,13.96,8.24,9.42,8.52
11007,7.51,23.57,13.91,8.81,10.96,18.91,12.78,11.53,18.47,17.75,7.02,14.33,5.97,8.77,12.08,9.31
12001,7.59,7.98,9.89,5.84,8.48,13.54,10.75,11.92,13.44,7.30,14.08,5.58,13.67,12.20,6.10,11.68
12002,16.83,15.99,13.41,13.98,13.13,11.84,10.52,14.17,10.07,10.86,11.53,9.29,8.51,9.60,10.06,9.29
12003,22.61,13.57,10.85,10.32,6.87,8.66,11.28,12.21,9.86,11.81,9.27,7.38,10.20,11.82,8.72,12.32
13001,20.99,16.12,15.23,13.55,9.95,11.25,10.96,10.32,10.04,10.90,9.02,9.16,9.36,9.66,8.93,9.22
13002,10.85,13.20,12.47,11.61,9.48,6.92,7.55,8.82,9.73,7.94,9.84,11.45,8.95,6.50,9.76,7.62
13003,6.17,10.06,10.17,9.59,12.91,9.06,10.59,13.74,10.07,12.90,11.73,6.26,12.92,12.87,8.89,9.97
13004,7.51,10.04,7.19,7.31,7.89,9.27,11.38,6.88,7.26,11.58,9.82,11.35,10.01,9.19,7.24,9.49
13005,8.30,10.33,13.96,12.44,10.86,9.70,9.03,11.42,15.37,9.63,8.58,10.31,8.83,12.81,12.97,12.11
13006,1.88,10.02,6.83,5.88,10.19,8.80,12.89,9.24,9.69,11.58,8.10,13.29,11.94,10.51,11.50,11.74
13007,11.54,24.36,12.92,15.30,15.87,12.40,14.49,12.38,11.34,13.96,16.51,17.08,14.65,11.94,15.76,11.59
13008,11.16,11.84,8.40,12.96,11.16,14.50,10.35,11.77,12.47,11.62,13.40,13.08,17.19,12.78,12.59,11.61
13009,20.22,13.84,14.26,12.40,11.90,8.22,11.30,8.34,7.61,9.54,8.59,11.69,12.83,13.24,10.82,15.62
