UF,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
11,16.1,15.9,14.5,14.89,13.52,12.89,14.08,12.52,10.79,11.73,12.93,8.53,8.94,8.64,9.18,9.89,9.25
12,17.6,14.63,12.37,12.26,10.73,10.93,10.76,13.41,10.28,10.89,10.97,8.36,9.46,10.48,9.34,10.42,8.24
13,17.21,14.75,13.68,12.61,10.41,10.52,10.77,10.24,10.21,10.76,9.57,10.1,10.29,10.25,9.77,10.09,9.93
14,10.98,10,8.23,8.56,10.06,9.8,11.99,10.44,9.9,9.92,7.5,8.14,9.34,11.28,12.32,10.52,10.99
15,16.36,15.94,13.99,14.78,14.72,13.58,13.64,12.65,12.46,12.86,12.77,12.48,11.8,11.24,11.01,10.69,11.06
16,18.12,17.04,17.54,15.51,18.82,17.18,19.98,17.95,17.68,16.65,13.46,14.23,14.64,14.77,11.8,10.98,12.18
17,13.59,13.31,12.6,11.9,11.88,10.28,10.53,10.88,9.72,9.79,9.77,8.63,8.32,8.67,8.22,8.72,9.05
21,10.71,11.65,12.16,10.97,10.55,11.13,10.74,11.15,11.15,11.32,10.72,11.15,10.24,11.75,10.88,10.96,10.29
22,15.03,13.98,14.52,14.34,13.5,13.8,14.08,14.41,13.5,13.02,12.26,12.48,12.28,11.91,11.37,10.8,11.81
23,15.6,12.85,15.05,15.3,14.83,11.95,11.78,10.81,10.63,10.78,9.36,9.36,9.02,9.95,8.57,8.63,8.78
24,13.15,13.15,13.92,11.58,12.64,11.45,9.64,10.75,10.36,9.85,9.46,9.17,10.15,9.87,9,9.82,8.68
25,17.76,13.49,14.3,13.82,13.52,12.32,12.75,13.14,11.26,10.75,10.44,10.13,10.66,9.99,9.73,8.31,8.51
26,16.74,15.53,14.94,14.85,13.52,13.58,12.13,12.08,11.05,11.62,10.63,9.44,9.97,9.7,9.19,9.4,9.78
27,17.09,16.62,16.74,13.9,13.33,14.52,12.88,13.78,12.23,11.86,11.47,10.59,9.77,10.44,10.53,10.45,9.7
28,18.84,20,19.93,16.81,16.19,16.03,15,12.9,12.78,11.17,10.64,11.14,11.38,10.49,10.94,10.83,11.02
29,16.36,15.76,15.1,15.46,15.24,15.03,15.57,14.57,13.21,13.14,13.19,12.5,12.65,12.51,11.95,11.39,11.92
31,14.31,12.76,12.59,12.12,11.78,11.5,11.24,10.39,10.49,9.89,9.3,9.39,8.94,8.61,8.18,8.13,7.95
32,12.45,11.42,11.67,10.93,9.88,10.44,10.38,9.43,10.12,8.26,8.47,8.44,7.82,7.53,8.29,7.83,8.01
33,13.62,12.78,12.66,12.23,11.8,11.19,10.48,10.02,9.62,9.56,9.33,9.09,9.1,8.61,8.78,8.39,8.73
35,11.69,11.2,10.61,10.29,9.91,9.22,9.07,8.82,8.6,8.67,8.14,7.91,7.93,7.89,7.88,7.58,7.67
41,12.88,11.48,11.55,10.98,10.54,10.09,9.66,9.09,9.2,8.77,8.79,8.25,8.18,7.6,8,7.87,7.35
42,9.56,10.2,9.93,9.25,8.83,8.62,8.77,8.64,8.1,7.56,7.26,8.1,7.58,6.99,7.08,7.24,6.33
43,9.54,9.95,9.64,9.79,10.07,9.17,8.81,8.3,8.73,7.81,7.46,7.84,7.28,7.05,7.4,7.19,7.06
50,15.76,15.92,12.95,12.69,13.33,12.72,12.45,12.25,11.3,11.87,10.39,8.99,8.69,8.04,8.56,8.02,8.22
51,15.24,14.86,14.3,12.53,12.66,11.87,10.78,10.81,10.58,10.36,9.83,9.68,9.7,9.71,9.33,9.25,9.25
52,10.64,11.02,11.32,11.5,11.16,10.41,10,9.61,9.5,9.1,9.15,10.1,10.39,9.67,9.18,8.98,9.36
53,9.96,10.88,9.69,9.57,9.15,8.99,8.86,7.89,7.9,8.67,9.22,8.19,8.51,9.27,8.47,8.15,7.8
