UF,Ano,CID10,Total
RO,2000,Síndrome da angústia respiratória do recém-nascido,71
RO,2000,Insuficiência respiratória do recém-nascido,64
RO,2000,Septicemia bacteriana não especificada do recém-nascido,53
RO,2000,Outros recém-nascidos de pré-termo,30
RO,2000,Outras causas mal definidas e as não especificadas de mortalidade,24
RO,2000,Outras,457
RO,2001,Insuficiência respiratória do recém-nascido,90
RO,2001,Síndrome da angústia respiratória do recém-nascido,57
RO,2001,Septicemia bacteriana não especificada do recém-nascido,28
RO,2001,Outras causas mal definidas e as não especificadas de mortalidade,24
RO,2001,Morte sem assistência,21
RO,2001,Outras,423
RO,2002,Síndrome da angústia respiratória do recém-nascido,62
RO,2002,Insuficiência respiratória do recém-nascido,54
RO,2002,Septicemia bacteriana não especificada do recém-nascido,38
RO,2002,Outras causas mal definidas e as não especificadas de mortalidade,23
RO,2002,"Asfixia ao nascer, não especificada",21
RO,2002,Outras,413
RO,2003,Síndrome da angústia respiratória do recém-nascido,73
RO,2003,Insuficiência respiratória do recém-nascido,53
RO,2003,Outras causas mal definidas e as não especificadas de mortalidade,33
RO,2003,Septicemia bacteriana não especificada do recém-nascido,25
RO,2003,Diarréia e gastroenterite de origem infecciosa presumível,22
RO,2003,Outras,398
RO,2004,Síndrome da angústia respiratória do recém-nascido,59
RO,2004,Insuficiência respiratória do recém-nascido,41
RO,2004,Septicemia bacteriana não especificada do recém-nascido,34
RO,2004,Disritmia cardíaca neonatal,27
RO,2004,Outras causas mal definidas e as não especificadas de mortalidade,24
RO,2004,Outras,377
RO,2005,Síndrome da angústia respiratória do recém-nascido,58
RO,2005,Septicemia bacteriana não especificada do recém-nascido,47
RO,2005,Outras causas mal definidas e as não especificadas de mortalidade,26
RO,2005,Insuficiência respiratória do recém-nascido,22
RO,2005,"Asfixia ao nascer, não especificada",19
RO,2005,Outras,350
RO,2006,Septicemia bacteriana não especificada do recém-nascido,66
RO,2006,Síndrome da angústia respiratória do recém-nascido,47
RO,2006,"Asfixia ao nascer, não especificada",18
RO,2006,Outros recém-nascidos de pré-termo,16
RO,2006,Malformação não especificada do coração,15
RO,2006,Outras,311
RO,2007,Septicemia bacteriana não especificada do recém-nascido,55
RO,2007,Síndrome da angústia respiratória do recém-nascido,30
RO,2007,"Asfixia ao nascer, não especificada",25
RO,2007,Diarréia e gastroenterite de origem infecciosa presumível,23
RO,2007,Malformação não especificada do coração,20
RO,2007,Outras,290
RO,2008,Septicemia bacteriana não especificada do recém-nascido,48
