Cod,Nome,2010,2011,2012,2013,2014,2015
11,RO,0.69,0.687,0.698,0.696,0.715,0.708
12,AC,0.663,0.688,0.696,0.694,0.719,0.71
13,AM,0.674,0.672,0.679,0.701,0.709,0.703
14,RR,0.707,0.721,0.729,0.724,0.732,0.743
15,PA,0.646,0.658,0.659,0.671,0.675,0.682
16,AP,0.708,0.7,0.707,0.727,0.747,0.719
17,TO,0.699,0.702,0.711,0.721,0.732,0.732
21,MA,0.639,0.649,0.65,0.665,0.678,0.677
22,PI,0.646,0.644,0.664,0.671,0.678,0.675
23,CE,0.682,0.7,0.704,0.709,0.716,0.715
24,RN,0.684,0.705,0.715,0.726,0.717,0.725
25,PB,0.658,0.681,0.682,0.692,0.701,0.709
26,PE,0.673,0.679,0.694,0.701,0.71,0.71
27,AL,0.631,0.635,0.644,0.653,0.667,0.663
28,SE,0.665,0.679,0.688,0.699,0.681,0.681
29,BA,0.66,0.675,0.682,0.694,0.703,0.698
31,MG,0.731,0.745,0.754,0.762,0.769,0.769
32,ES,0.74,0.759,0.769,0.766,0.771,0.777
33,RJ,0.761,0.752,0.762,0.773,0.778,0.779
35,SP,0.783,0.802,0.808,0.814,0.819,0.819
41,PR,0.749,0.761,0.774,0.787,0.79,0.79
42,SC,0.774,0.791,0.797,0.807,0.813,0.816
43,RS,0.746,0.752,0.757,0.763,0.779,0.778
50,MS,0.729,0.743,0.746,0.751,0.762,0.756
51,MT,0.725,0.747,0.755,0.758,0.767,0.763
52,GO,0.735,0.74,0.745,0.75,0.75,0.756
53,DF,0.824,0.819,0.827,0.832,0.839,0.839
