Cod,Nome,2010,2011,2012,2013,2014,2015
11,RO,23907887,27574714,30112720,31121413,34030982,36563333
12,AC,8342356,8949434,10137925,11473930,13458698,13622802
13,AM,60877123,70734401,72242701,83051233,86668644,86568184
14,RR,6639150,7303719,7711467,9010725,9744122,10242905
15,PA,82684518,98710736,107080881,121224847,124584945,130899505
16,AP,8237795,9409228,11130868,12763486,13400284,13861293
17,TO,16404816,18345688,20684430,23796656,26189323,28930291
21,MA,46309633,52143535,60490109,67694845,76842028,78475994
22,PI,22269149,25941362,28637685,31283593,37723497,39149686
23,CE,79336299,89695828,96973753,109036556,126054472,130629849
24,RN,36184502,40992925,46412208,51518457,54022584,57250867
25,PB,33522492,37109137,42488349,46377299,52936483,56141890
26,PE,97189760,110161559,127989043,141150252,155142648,156963668
27,AL,27133038,31657321,34650397,37282529,40974994,46367211
28,SE,26404893,29108272,32853181,35335986,37472432,38556530
29,BA,154419547,166602817,182572530,204844274,223929966,245043690
31,MG,351123418,400124687,442282830,488004903,516633984,519331213
32,ES,85310285,105976222,116850581,117274347,128783781,120365980
33,RJ,449858101,512767905,574884973,628226069,671076844,659138952
35,SP,1294695988,1436672709,1559033444,1715238417,1858196055,1939901907
41,PR,225205255,257122269,285620202,333481152,348084191,376962822
42,SC,153726007,174068322,191794652,214512242,242553371,249079642
43,RS,241249164,265056416,287587019,332292726,357816424,381992601
50,MS,47270656,55133162,62013201,69203201,78950133,83082555
51,MT,56600955,69153957,79665691,89212919,101234520,107418319
52,GO,106770109,121296721,138757825,151300175,165015318,173632450
53,DF,144174102,154568954,164101336,175906726,197432059,215612863
